等级	经验	组队人数	直属率领人数	任命权个数
1	100	3	0	0
2	120	3	0	0
3	144	3	0	0
4	172	3	0	0
5	206	3	0	0
6	247	4	0	0
7	296	4	0	0
8	355	4	0	0
9	426	4	0	0
10	511	4	0	0
11	613	4	7	0
12	735	5	7	0
13	882	5	7	0
14	1058	5	7	0
15	1269	5	7	0
16	1522	5	7	0
17	1826	5	7	0
18	2191	5	7	0
19	2629	6	7	0
20	3154	6	7	0
21	3784	6	15	0
22	4540	6	15	0
23	5448	6	15	0
24	6537	6	15	0
25	7844	6	15	0
26	9412	6	15	0
27	11294	7	15	0
28	13552	7	15	0
29	16262	7	15	0
30	19514	7	15	0
31	23416	7	23	0
32	28099	7	23	0
33	33718	7	23	0
34	40461	7	23	0
35	48553	7	23	0
36	58263	7	23	0
37	69915	7	23	0
38	83898	7	23	0
39	100677	7	23	0
40	120812	7	23	0
41	144974	7	31	1
42	173968	7	31	1
43	208761	7	31	1
44	250513	7	31	1
45	300615	7	31	2
46	360738	7	31	2
47	432885	7	31	2
48	519462	7	31	2
49	623354	7	31	2
50	748024	7	31	2
51	897628	7	39	3
52	1077153	7	39	3
53	1292583	7	39	3
54	1551099	7	39	3
55	1861318	7	39	3
56	2233581	7	39	3
57	2680297	7	39	4
58	3216356	7	39	4
59	3859627	7	39	4
60	4631552	7	39	4
61	5557862	7	47	4
62	6669434	7	47	4
63	8003320	7	47	4
64	9603984	7	47	5
65	11524780	7	47	5
66	13829736	7	47	5
67	16595683	7	47	5
68	19914819	7	47	5
69	23897782	7	47	5
70	28677338	7	47	5
71	34412805	7	55	5
72	41295366	7	55	6
73	49554439	7	55	6
74	59465326	7	55	6
75	71358391	7	55	6
76	85630069	7	55	6
77	102756082	7	55	6
78	123307298	7	55	6
79	147968757	7	55	6
80	177562508	7	55	6
81	213075009	7	63	7
82	255690010	7	66	7
83	306828012	7	71	7
84	368193614	7	79	7
85	441832336	7	89	7
86	530198803	7	101	7
87	636238563	7	116	7
88	763486275	7	133	7
89	916183530	7	152	7
90	1099420236	7	174	7
91	1319304283	7	198	7
92	1583165139	7	224	7
93	1899798166	7	253	7
94	2279757799	7	284	7
95	2735709358	7	318	7
96	3282851229	7	354	7
97	3939421474	7	392	7
98	4727305768	7	433	7
99	5672766921	7	476	7
100	6807320305	7	511	7
