等级	下一级经验	升级需要经验
1	50	50
2	450	400
3	1350	900
4	2550	1200
5	4550	2000
6	7050	2500
7	10050	3000
8	14050	4000
9	19050	5000
10	49050	30000
11	115050	66000
12	190650	75600
13	276550	85900
14	373750	97200
15	483050	109300
16	605550	122500
17	742150	136600
18	894050	151900
19	1062450	168400
20	1248550	186100
21	1419550	171000
22	1607650	188100
23	1814150	206500
24	2040350	226200
25	2287750	247400
26	2557950	270200
27	2852550	294600
28	3173350	320800
29	3522250	348900
30	3847050	324800
31	4199550	352500
32	4581550	382000
33	4995250	413700
34	5442750	447500
35	5926450	483700
36	6448850	522400
37	7012650	563800
38	7620650	608000
39	8275850	655200
40	8981450	705600
41	9645850	664400
42	10360550	714700
43	11128850	768300
44	11954350	825500
45	12840850	886500
46	13792350	951500
47	14813150	1020800
48	15907750	1094600
49	17081050	1173300
50	18338150	1257100
51	19684450	1346300
52	21125850	1441400
53	22668450	1542600
54	24318750	1650300
55	26083650	1764900
56	27970450	1886800
57	29986950	2016500
58	32141450	2154500
59	34442650	2301200
60	36730850	2288200
61	39289850	2559000
62	42150950	2861100
63	45348850	3197900
64	48922450	3573600
65	52914850	3992400
66	57374050	4459200
67	62353450	4979400
68	67912550	5559100
69	74117450	6204900
70	81041850	6924400
71	89118650	8076800
72	98537750	9419100
73	109520150	10982400
74	122322950	12802800
75	137245150	14922200
76	154634550	17389400
77	174895450	20260900
78	198498150	23602700
79	225989250	27491100
80	254802650	28813400
81	288352250	33549600
82	327410650	39058400
83	372875550	45464900
84	425790150	52914600
85	487366450	61576300
86	559012250	71645800
87	642362950	83350700
88	739318050	96955100
89	852083450	112765400
90	983220750	131137300
91	1135704350	152483600
92	1312987450	177283100
93	1519079050	206091600
94	1758632850	239553800
95	2037050450	278417600
96	2360601050	323550600
97	2736560050	375959000
98	3173370150	436810100
99	3658764250	485394100
100	4198091050	539326800
101	4198091050	4198091050
102	4198091050	4198091050
103	4198091050	4198091050
104	4198091050	4198091050
105	4198091050	4198091050
106	4198091050	4198091050
107	4198091050	4198091050
108	4198091050	4198091050
109	4198091050	4198091050
110	2355279900	1
111	2355279901	1
112	2355279902	1
113	2355279903	1
114	2355279904	1
115	2355279905	1
116	2355279906	1
117	2355279907	1
118	2355279908	1
119	2355279909	1
120	2355279910	1
121	2355279911	1
122	2355279912	1
123	2355279913	1
124	2355279914	1
125	2355279915	1
126	2355279916	1
127	2355279917	1
128	2355279918	1
129	2355279919	1
130	2355279920	1
131	2355279921	1
132	2355279922	1
133	2355279923	1
134	2355279924	1
135	2355279925	1
136	2355279926	1
137	2355279927	1
138	2355279928	1
139	2355279929	1
140	2355279930	1
141	2355279931	1
142	2355279932	1
143	2355279933	1
144	2355279934	1
145	2355279935	1
146	2355279936	1
147	2355279937	1
148	2355279938	1
149	2355279939	1
150	2355279940	1
151	2355279941	1
152	2355279942	1
153	2355279943	1
154	2355279944	1
155	2355279945	1
156	2355279946	1
157	2355279947	1
158	2355279948	1
159	2355279949	1
160	2355279950	1
161	2355279951	1
162	2355279952	1
163	2355279953	1
164	2355279954	1
165	2355279955	1
166	2355279956	1
167	2355279957	1
168	2355279958	1
169	2355279959	1
170	2355279960	1
171	2355279961	1
172	2355279962	1
173	2355279963	1
174	2355279964	1
175	2355279965	1
176	2355279966	1
177	2355279967	1
178	2355279968	1
179	2355279969	1
180	2355279970	1
181	2355279971	1
182	2355279972	1
183	2355279973	1
184	2355279974	1
185	2355279975	1
186	2355279976	1
187	2355279977	1
188	2355279978	1
189	2355279979	1
190	2355279980	1
191	2355279981	1
192	2355279981	1
193	2355279982	1
194	2355279983	1
195	2355279984	1
196	2355279985	1
197	2355279986	1
198	2355279987	1
199	2355279988	1
200	2355279989	1
